Pair,Base,Coin,Extract
BTC_AMP,BTC,AMP,0
BTC_ARDR,BTC,ARDR,0
BTC_BCH,BTC,BCH,0
BTC_BCN,BTC,BCN,0
BTC_BCY,BTC,BCY,0
BTC_BELA,BTC,BELA,0
BTC_BLK,BTC,BLK,0
BTC_BTCD,BTC,BTCD,0
BTC_BTM,BTC,BTM,0
BTC_BTS,BTC,BTS,0
BTC_BURST,BTC,BURST,0
BTC_CLAM,BTC,CLAM,0
BTC_CVC,BTC,CVC,0
BTC_DASH,BTC,DASH,0
BTC_DCR,BTC,DCR,0
BTC_DGB,BTC,DGB,0
BTC_DOGE,BTC,DOGE,0
BTC_EMC2,BTC,EMC2,0
BTC_ETC,BTC,ETC,0
BTC_ETH,BTC,ETH,0
BTC_EXP,BTC,EXP,0
BTC_FCT,BTC,FCT,0
BTC_FLDC,BTC,FLDC,0
BTC_FLO,BTC,FLO,0
BTC_GAME,BTC,GAME,0
BTC_GAS,BTC,GAS,0
BTC_GNO,BTC,GNO,0
BTC_GNT,BTC,GNT,0
BTC_GRC,BTC,GRC,0
BTC_HUC,BTC,HUC,0
BTC_LBC,BTC,LBC,0
BTC_LSK,BTC,LSK,0
BTC_LTC,BTC,LTC,0
BTC_MAID,BTC,MAID,0
BTC_NAV,BTC,NAV,0
BTC_NEOS,BTC,NEOS,0
BTC_NMC,BTC,NMC,0
BTC_NXC,BTC,NXC,0
BTC_NXT,BTC,NXT,0
BTC_OMG,BTC,OMG,0
BTC_OMNI,BTC,OMNI,0
BTC_PASC,BTC,PASC,0
BTC_PINK,BTC,PINK,0
BTC_POT,BTC,POT,0
BTC_PPC,BTC,PPC,0
BTC_RADS,BTC,RADS,0
BTC_REP,BTC,REP,0
BTC_RIC,BTC,RIC,0
BTC_SBD,BTC,SBD,0
BTC_SC,BTC,SC,0
BTC_STEEM,BTC,STEEM,0
BTC_STORJ,BTC,STORJ,0
BTC_STR,BTC,STR,0
BTC_STRAT,BTC,STRAT,0
BTC_SYS,BTC,SYS,0
BTC_VIA,BTC,VIA,0
BTC_VRC,BTC,VRC,0
BTC_VTC,BTC,VTC,0
BTC_XBC,BTC,XBC,0
BTC_XCP,BTC,XCP,0
BTC_XEM,BTC,XEM,0
BTC_XMR,BTC,XMR,0
BTC_XPM,BTC,XPM,0
BTC_XRP,BTC,XRP,0
BTC_XVC,BTC,XVC,0
BTC_ZEC,BTC,ZEC,0
BTC_ZRX,BTC,ZRX,0
ETH_BCH,ETH,BCH,0
ETH_CVC,ETH,CVC,0
ETH_ETC,ETH,ETC,0
ETH_GAS,ETH,GAS,0
ETH_GNO,ETH,GNO,0
ETH_GNT,ETH,GNT,0
ETH_LSK,ETH,LSK,0
ETH_OMG,ETH,OMG,0
ETH_REP,ETH,REP,0
ETH_STEEM,ETH,STEEM,0
ETH_ZEC,ETH,ZEC,0
ETH_ZRX,ETH,ZRX,0
USDT_BCH,USDT,BCH,1
USDT_BTC,USDT,BTC,1
USDT_DASH,USDT,DASH,1
USDT_ETC,USDT,ETC,1
USDT_ETH,USDT,ETH,1
USDT_LTC,USDT,LTC,1
USDT_NXT,USDT,NXT,1
USDT_REP,USDT,REP,1
USDT_STR,USDT,STR,1
USDT_XMR,USDT,XMR,1
USDT_XRP,USDT,XRP,1
USDT_ZEC,USDT,ZEC,1
XMR_BCN,XMR,BCN,0
XMR_BLK,XMR,BLK,0
XMR_BTCD,XMR,BTCD,0
XMR_DASH,XMR,DASH,0
XMR_LTC,XMR,LTC,0
XMR_MAID,XMR,MAID,0
XMR_NXT,XMR,NXT,0
XMR_ZEC,XMR,ZEC,0
