date,bitcoin,btc,etherium,etc
2018-03-17 00:00:00,67,7,0,0
2018-03-17 00:08:00,100,7,0,0
2018-03-17 00:16:00,95,2,0,0
2018-03-17 00:24:00,78,2,0,0
2018-03-17 00:32:00,72,3,0,0
2018-03-17 00:40:00,76,2,0,0
2018-03-17 00:48:00,67,2,0,75
2018-03-17 00:56:00,74,3,0,25
2018-03-17 01:04:00,80,3,0,0
2018-03-17 01:12:00,75,2,0,50
2018-03-17 01:20:00,62,3,0,0
2018-03-17 01:28:00,85,3,0,25
2018-03-17 01:36:00,81,3,0,25
2018-03-17 01:44:00,85,2,0,0
2018-03-17 01:52:00,62,5,0,0
2018-03-17 02:00:00,72,2,0,26
2018-03-17 02:08:00,91,2,0,26
2018-03-17 02:16:00,76,3,0,26
2018-03-17 02:24:00,71,2,0,26
2018-03-17 02:32:00,85,3,0,26
2018-03-17 02:40:00,59,5,0,0
2018-03-17 02:48:00,78,2,0,0
2018-03-17 02:56:00,66,6,0,0
2018-03-17 03:04:00,77,3,0,0
2018-03-17 03:12:00,82,7,0,0
2018-03-17 03:20:00,61,2,0,0
2018-03-17 03:28:00,63,0,0,0
2018-03-17 03:36:00,92,7,0,0
2018-03-17 03:44:00,64,3,0,28
2018-03-17 03:52:00,91,2,0,28
2018-03-17 04:00:00,69,2,0,28
2018-03-17 04:08:00,89,3,0,0
2018-03-17 04:16:00,66,2,0,0
2018-03-17 04:24:00,71,2,29,29
2018-03-17 04:32:00,89,4,58,0
2018-03-17 04:40:00,98,2,0,29
2018-03-17 04:48:00,96,5,0,0
2018-03-17 04:56:00,62,2,0,29
2018-03-17 05:04:00,62,9,0,0
2018-03-17 05:12:00,80,4,29,29
2018-03-17 05:20:00,67,5,0,0
2018-03-17 05:28:00,69,4,0,0
2018-03-17 05:36:00,67,2,58,0
2018-03-17 05:44:00,79,5,0,0
2018-03-17 05:52:00,74,2,0,0
2018-03-17 06:00:00,63,5,0,0
2018-03-17 06:08:00,78,3,0,55
2018-03-17 06:16:00,79,2,0,0
2018-03-17 06:24:00,89,2,0,27
2018-03-17 06:32:00,75,5,0,0
2018-03-17 06:40:00,60,3,0,0
2018-03-17 06:48:00,78,5,0,52
2018-03-17 06:56:00,68,0,0,25
2018-03-17 07:04:00,61,2,0,0
2018-03-17 07:12:00,69,2,0,100
2018-03-17 07:20:00,77,5,0,0
2018-03-17 07:28:00,65,3,0,0
2018-03-17 07:36:00,60,4,0,0
2018-03-17 07:44:00,57,7,0,24
2018-03-17 07:52:00,52,0,24,24
2018-03-17 08:00:00,62,0,0,0
2018-03-17 08:08:00,41,6,0,0
2018-03-17 08:16:00,60,1,0,0
2018-03-17 08:24:00,65,3,0,23
2018-03-17 08:32:00,48,3,0,0
2018-03-17 08:40:00,66,1,0,0
2018-03-17 08:48:00,65,0,0,22
2018-03-17 08:56:00,51,3,0,22
2018-03-17 09:04:00,49,1,0,0
2018-03-17 09:12:00,58,7,0,0
2018-03-17 09:20:00,57,5,0,0
2018-03-17 09:28:00,41,3,21,21
2018-03-17 09:36:00,58,6,0,0
2018-03-17 09:44:00,54,6,0,0
2018-03-17 09:52:00,60,3,0,21
2018-03-17 10:00:00,65,3,0,0
2018-03-17 10:08:00,64,4,0,0
2018-03-17 10:16:00,44,3,0,0
2018-03-17 10:24:00,67,1,0,0
2018-03-17 10:32:00,57,1,0,0
2018-03-17 10:40:00,52,1,0,20
2018-03-17 10:48:00,65,4,0,20
2018-03-17 10:56:00,46,1,0,0
2018-03-17 11:04:00,67,0,0,39
2018-03-17 11:12:00,50,3,0,0
2018-03-17 11:20:00,43,2,0,0
2018-03-17 11:28:00,55,5,0,19
2018-03-17 11:36:00,62,2,0,19
2018-03-17 11:44:00,67,2,0,0
2018-03-17 11:52:00,53,4,0,0
2018-03-17 12:00:00,55,1,0,0
2018-03-17 12:08:00,47,4,0,0
2018-03-17 12:16:00,60,3,0,35
