date,bitcoin,btc
2017-05-07 00:00:00,54,4
2017-05-07 00:08:00,40,4
2017-05-07 00:16:00,40,4
2017-05-07 00:24:00,51,0
2017-05-07 00:32:00,61,0
2017-05-07 00:40:00,32,7
2017-05-07 00:48:00,72,7
2017-05-07 00:56:00,47,0
2017-05-07 01:04:00,32,4
2017-05-07 01:12:00,54,0
2017-05-07 01:20:00,36,7
2017-05-07 01:28:00,76,4
2017-05-07 01:36:00,50,4
2017-05-07 01:44:00,47,0
2017-05-07 01:52:00,68,0
2017-05-07 02:00:00,61,4
2017-05-07 02:08:00,43,0
2017-05-07 02:16:00,54,0
2017-05-07 02:24:00,50,0
2017-05-07 02:32:00,40,7
2017-05-07 02:40:00,58,0
2017-05-07 02:48:00,47,0
2017-05-07 02:56:00,70,0
2017-05-07 03:04:00,51,4
2017-05-07 03:12:00,59,0
2017-05-07 03:20:00,52,0
2017-05-07 03:28:00,34,4
2017-05-07 03:36:00,45,8
2017-05-07 03:44:00,46,0
2017-05-07 03:52:00,53,8
2017-05-07 04:00:00,30,0
2017-05-07 04:08:00,27,0
2017-05-07 04:16:00,77,0
2017-05-07 04:24:00,42,8
2017-05-07 04:32:00,49,0
2017-05-07 04:40:00,65,0
2017-05-07 04:48:00,50,4
2017-05-07 04:56:00,58,12
2017-05-07 05:04:00,65,4
2017-05-07 05:12:00,49,8
2017-05-07 05:20:00,30,0
2017-05-07 05:28:00,34,4
2017-05-07 05:36:00,75,0
2017-05-07 05:44:00,41,0
2017-05-07 05:52:00,55,0
2017-05-07 06:00:00,51,4
2017-05-07 06:08:00,100,4
2017-05-07 06:16:00,42,7
2017-05-07 06:24:00,56,0
2017-05-07 06:32:00,49,3
2017-05-07 06:40:00,38,0
2017-05-07 06:48:00,61,0
2017-05-07 06:56:00,43,7
2017-05-07 07:04:00,20,0
2017-05-07 07:12:00,69,10
2017-05-07 07:20:00,42,0
2017-05-07 07:28:00,19,0
2017-05-07 07:36:00,57,6
2017-05-07 07:44:00,35,9
2017-05-07 07:52:00,75,0
2017-05-07 08:00:00,53,0
2017-05-07 08:08:00,62,3
2017-05-07 08:16:00,58,6
2017-05-07 08:24:00,40,3
2017-05-07 08:32:00,30,6
2017-05-07 08:40:00,54,3
2017-05-07 08:48:00,54,3
2017-05-07 08:56:00,66,3
2017-05-07 09:04:00,36,3
2017-05-07 09:12:00,53,0
2017-05-07 09:20:00,23,0
2017-05-07 09:28:00,38,3
2017-05-07 09:36:00,35,3
2017-05-07 09:44:00,41,3
2017-05-07 09:52:00,46,3
2017-05-07 10:00:00,35,0
2017-05-07 10:08:00,29,0
