date,bitcoin,btc,etherium,etc,ripple,xrp,btcoin cash,bcc,eos.io,eos,litecoin,ltc,cardano,ada,str,iota,miota,tron,trx,tether usd,usd tether,usdt
2018-02-08,100.0,19.0,6,72,71.0,22.0,0,97,0.0,63.0,34.0,13.0,3.0,82.0,84,78,3,74.0,41.0,10.0,10.0,80.0
2018-02-09,89.0,17.0,6,77,85.0,26.0,0,93,0.0,61.0,34.0,15.0,4.0,81.0,79,89,1,69.0,46.0,6.0,6.0,66.0
2018-02-10,74.0,16.0,4,66,100.0,30.0,0,57,0.0,64.0,31.0,12.0,4.0,87.0,67,76,2,77.0,46.0,9.0,9.0,100.0
2018-02-11,66.0,14.0,5,69,70.0,21.0,0,54,0.0,68.0,26.0,10.0,3.0,100.0,62,65,2,70.0,40.0,5.0,5.0,75.0
2018-02-12,74.0,14.0,5,79,73.0,25.0,0,90,0.0,62.0,29.0,12.0,3.0,86.0,90,79,1,60.0,37.0,4.0,4.0,83.0
2018-02-13,67.0,14.0,5,91,66.0,22.0,0,89,0.0,61.0,27.0,13.0,3.0,86.0,88,65,2,62.0,40.0,4.0,4.0,63.0
2018-02-14,67.0,13.0,5,81,73.0,23.0,0,87,0.0,56.0,100.0,23.0,4.0,80.0,85,68,1,59.0,38.0,4.0,4.0,72.0
2018-02-15,72.0,15.0,6,74,82.0,27.0,0,95,0.0,62.0,88.0,23.0,4.0,81.0,88,80,3,58.0,39.0,0.0,0.0,53.0
2018-02-16,67.0,14.0,5,73,65.0,20.0,0,91,0.0,65.0,56.0,17.0,4.0,85.0,83,71,1,65.0,43.0,9.0,9.0,71.0
2018-02-17,63.0,15.0,5,66,66.0,20.0,0,57,0.0,65.0,56.0,15.0,4.0,84.0,68,65,2,80.0,37.0,5.0,5.0,67.0
2018-02-18,62.0,13.0,5,71,60.0,18.0,0,57,0.0,67.0,68.0,16.0,3.0,83.0,64,68,2,69.0,35.0,0.0,0.0,33.0
2018-02-19,60.0,13.0,5,86,61.0,19.0,0,88,0.0,66.0,65.0,15.0,4.0,86.0,95,66,1,59.0,40.0,6.0,6.0,29.0
2018-02-20,66.0,14.0,6,84,64.0,19.0,0,87,0.0,63.0,82.0,18.0,3.0,83.0,88,72,2,61.0,43.0,8.0,8.0,67.0
2018-02-21,67.0,13.0,5,80,59.0,18.0,0,99,0.0,62.0,45.0,17.0,3.0,84.0,87,58,2,59.0,37.0,10.0,10.0,69.0
2018-02-22,62.0,12.0,5,76,54.0,16.0,0,90,0.0,62.0,36.0,15.0,3.0,90.0,89,72,2,55.0,39.0,2.0,2.0,60.0
2018-02-23,55.0,12.0,4,75,50.0,16.0,0,92,0.0,62.0,34.0,13.0,3.0,82.0,85,54,1,57.0,31.0,0.0,0.0,54.0
2018-02-24,47.0,11.0,4,72,43.0,15.0,0,60,0.0,69.0,29.0,10.0,3.0,83.0,68,58,2,60.0,36.0,2.0,2.0,40.0
2018-02-25,44.0,10.0,3,74,39.0,11.0,0,58,0.0,62.0,32.0,11.0,3.0,84.0,65,83,1,61.0,33.0,0.0,0.0,44.0
2018-02-26,51.0,11.0,4,82,44.0,15.0,0,91,0.0,75.0,44.0,15.0,3.0,86.0,95,65,1,53.0,38.0,0.0,0.0,42.0
2018-02-27,52.0,11.0,4,82,48.0,15.0,0,93,0.0,70.0,34.0,15.0,4.0,86.0,90,72,2,60.0,40.0,6.0,6.0,34.0
2018-02-28,50.0,11.0,3,83,44.0,14.0,0,96,0.0,59.0,26.0,12.0,4.0,86.0,89,65,3,67.0,40.0,6.0,6.0,40.0
2018-03-01,46.0,10.0,3,85,43.0,13.0,0,92,0.0,65.0,26.0,11.0,4.0,90.0,88,65,1,62.0,34.0,0.0,0.0,42.0
