date,bitcoin,btc,etherium,etc,ripple,xrp,btcoin cash,bcc,eos.io,eos,litecoin,ltc,cardano,ada,str,iota,miota,tron,trx,tether usd,usd tether,usdt
2018-05-04 00:00:00,76,3,0,0,12,0,0,0,0,23,0,0,0,0,0,32,0,0,0,0,0,0
2018-05-04 00:08:00,66,5,32,0,12,0,0,47,0,47,14,14,0,0,0,0,0,0,22,0,0,0
2018-05-04 00:16:00,78,3,0,0,58,58,0,0,0,68,14,0,0,0,0,0,0,21,21,0,0,0
2018-05-04 00:24:00,66,2,32,0,12,0,0,47,0,46,28,0,0,0,0,31,0,0,21,0,0,0
2018-05-04 00:32:00,69,8,0,0,35,12,0,0,0,0,43,0,0,0,0,31,0,0,0,0,0,0
2018-05-04 00:40:00,75,2,0,0,57,23,0,0,0,23,28,14,0,18,0,0,0,0,0,0,0,0
2018-05-04 00:48:00,77,2,0,0,57,0,0,0,0,23,70,0,0,18,0,61,0,0,21,0,0,0
2018-05-04 00:56:00,52,2,32,32,12,23,0,0,0,0,14,0,0,0,0,62,0,0,21,0,0,0
2018-05-04 01:04:00,64,5,0,0,68,23,0,0,0,0,28,0,0,18,0,60,30,41,0,0,0,0
2018-05-04 01:12:00,62,5,0,0,0,0,0,0,0,0,27,0,0,0,0,30,0,21,0,0,0,0
2018-05-04 01:20:00,60,2,0,0,12,0,0,0,0,47,0,15,0,19,0,0,0,44,22,0,0,0
2018-05-04 01:28:00,69,7,0,31,34,45,0,0,0,22,28,0,18,55,0,0,0,21,21,0,0,0
2018-05-04 01:36:00,78,5,0,0,46,0,0,0,0,68,0,0,0,18,0,0,0,0,42,0,0,0
2018-05-04 01:44:00,80,0,31,0,23,46,0,46,0,0,42,0,0,0,0,0,0,0,0,0,0,0
2018-05-04 01:52:00,78,2,0,0,68,11,0,0,0,67,0,0,0,18,0,30,0,0,21,0,0,0
2018-05-04 02:00:00,71,3,0,0,11,0,0,0,0,0,0,0,0,18,0,0,0,21,0,0,0,0
2018-05-04 02:08:00,74,5,0,0,46,23,0,0,0,0,42,0,0,19,0,0,0,21,0,0,0,0
2018-05-04 02:16:00,72,0,0,31,23,11,0,0,0,90,28,0,0,37,0,0,0,21,0,0,0,0
2018-05-04 02:24:00,91,0,0,0,35,12,0,0,0,23,14,0,19,0,28,31,0,21,21,0,0,0
2018-05-04 02:32:00,69,0,0,64,35,23,0,0,0,46,57,0,0,37,0,31,0,0,21,0,0,0
2018-05-04 02:40:00,65,2,0,0,23,23,0,0,0,69,29,0,0,19,0,0,0,21,0,0,0,0
2018-05-04 02:48:00,64,3,0,0,24,0,0,0,0,46,86,0,0,19,0,0,0,0,0,0,0,0
2018-05-04 02:56:00,63,3,0,0,24,12,0,0,0,24,29,15,0,19,0,0,0,0,0,0,0,0
2018-05-04 03:04:00,80,0,0,0,25,0,0,0,0,0,30,0,0,20,0,0,0,22,0,0,0,0
2018-05-04 03:12:00,59,4,0,0,100,12,0,0,0,0,0,0,0,20,0,33,0,0,23,0,0,0
2018-05-04 03:20:00,77,2,0,0,38,0,0,0,0,49,30,0,0,20,30,0,0,23,0,0,0,0
2018-05-04 03:28:00,73,5,0,0,50,0,0,0,0,0,15,0,0,20,0,100,0,0,0,0,0,0
2018-05-04 03:36:00,69,6,0,0,26,26,0,0,0,50,31,0,0,0,0,68,0,47,0,0,0,0
2018-05-04 03:44:00,81,5,0,0,51,25,0,0,0,25,46,0,0,40,31,34,0,0,23,0,0,0
2018-05-04 03:52:00,85,2,0,0,38,25,0,0,0,25,0,15,0,0,31,34,0,23,0,0,0,0
