date,bitcoin,btc,etherium,etc
2018-04-29 00:00:00,57,2,0,0
2018-04-29 00:08:00,53,0,0,0
2018-04-29 00:16:00,78,0,0,0
2018-04-29 00:24:00,74,2,0,0
2018-04-29 00:32:00,58,2,0,0
2018-04-29 00:40:00,57,2,0,0
2018-04-29 00:48:00,46,4,0,49
2018-04-29 00:56:00,53,4,0,0
2018-04-29 01:04:00,72,2,0,0
2018-04-29 01:12:00,61,2,0,0
2018-04-29 01:20:00,39,10,0,49
2018-04-29 01:28:00,65,2,0,49
2018-04-29 01:36:00,50,2,0,0
2018-04-29 01:44:00,75,0,0,0
2018-04-29 01:52:00,54,6,0,0
2018-04-29 02:00:00,46,4,0,0
2018-04-29 02:08:00,65,0,0,49
2018-04-29 02:16:00,59,0,0,0
2018-04-29 02:24:00,71,2,0,98
2018-04-29 02:32:00,67,8,0,0
2018-04-29 02:40:00,55,4,0,0
2018-04-29 02:48:00,67,0,0,49
2018-04-29 02:56:00,62,2,0,0
2018-04-29 03:04:00,70,4,49,0
2018-04-29 03:12:00,75,4,49,49
2018-04-29 03:20:00,96,4,0,0
2018-04-29 03:28:00,92,4,0,0
2018-04-29 03:36:00,71,0,0,0
2018-04-29 03:44:00,60,2,0,0
2018-04-29 03:52:00,52,0,0,0
2018-04-29 04:00:00,59,6,0,0
2018-04-29 04:08:00,82,0,0,0
2018-04-29 04:16:00,73,4,0,0
2018-04-29 04:24:00,44,4,0,0
2018-04-29 04:32:00,72,2,51,51
2018-04-29 04:40:00,66,4,0,0
2018-04-29 04:48:00,42,4,100,50
2018-04-29 04:56:00,44,2,0,0
2018-04-29 05:04:00,66,6,0,50
2018-04-29 05:12:00,56,2,0,0
2018-04-29 05:20:00,66,4,0,0
2018-04-29 05:28:00,29,0,0,0
2018-04-29 05:36:00,59,2,0,49
2018-04-29 05:44:00,40,0,0,0
2018-04-29 05:52:00,47,8,47,95
2018-04-29 06:00:00,63,8,0,0
2018-04-29 06:08:00,59,6,0,0
2018-04-29 06:16:00,51,4,0,0
2018-04-29 06:24:00,62,6,45,0
2018-04-29 06:32:00,64,6,0,0
2018-04-29 06:40:00,65,4,0,0
2018-04-29 06:48:00,51,5,0,44
2018-04-29 06:56:00,47,0,42,0
2018-04-29 07:04:00,59,2,0,82
2018-04-29 07:12:00,34,2,0,0
2018-04-29 07:20:00,72,0,0,0
2018-04-29 07:28:00,63,5,0,41
2018-04-29 07:36:00,46,7,0,0
2018-04-29 07:44:00,57,2,0,0
2018-04-29 07:52:00,61,0,0,0
2018-04-29 08:00:00,46,0,0,0
2018-04-29 08:08:00,53,0,0,39
2018-04-29 08:16:00,48,3,0,0
2018-04-29 08:24:00,42,2,0,39
2018-04-29 08:32:00,51,3,0,0
2018-04-29 08:40:00,48,5,0,0
2018-04-29 08:48:00,36,3,0,0
2018-04-29 08:56:00,60,0,0,0
2018-04-29 09:04:00,44,6,0,0
2018-04-29 09:12:00,72,3,0,0
2018-04-29 09:20:00,30,3,0,38
2018-04-29 09:28:00,48,2,0,0
2018-04-29 09:36:00,66,3,0,38
2018-04-29 09:44:00,36,6,0,0
2018-04-29 09:52:00,49,2,0,0
2018-04-29 10:00:00,46,0,0,0
