date,bitcoin,btc,etherium,etc,ripple,xrp,btcoin cash,bcc,eos.io,eos,litecoin,ltc,cardano,ada,str,iota,miota,tron,trx,tether usd,usd tether,usdt
2018-02-12 00:00:00,40,1,0,0,73,18,0,0,0,63,45,0,0,0,0,0,0,0,26,0,0,0
2018-02-12 00:08:00,43,2,31,0,43,6,0,0,0,0,45,0,0,97,0,24,0,0,0,0,0,97
2018-02-12 00:16:00,42,4,0,62,61,18,0,0,0,32,57,0,0,0,13,24,0,0,0,0,0,97
2018-02-12 00:24:00,46,0,0,0,43,12,0,0,0,63,11,0,0,0,13,72,0,0,0,0,0,0
2018-02-12 00:32:00,42,3,0,31,42,6,0,0,0,0,23,0,32,96,52,0,0,0,0,0,0,0
2018-02-12 00:40:00,43,5,31,31,60,24,0,0,0,0,45,0,32,0,13,47,0,25,0,0,0,0
2018-02-12 00:48:00,43,3,61,0,36,12,0,0,0,31,45,0,0,0,26,23,0,0,0,0,0,0
2018-02-12 00:56:00,49,3,0,31,60,12,0,0,0,0,45,11,0,32,13,0,0,0,76,0,0,0
2018-02-12 01:04:00,47,3,0,0,30,18,0,0,0,62,33,22,0,0,0,0,0,0,0,0,0,0
2018-02-12 01:12:00,48,1,0,60,36,24,0,0,0,0,33,11,32,32,38,0,0,0,0,0,0,0
2018-02-12 01:20:00,49,3,0,30,65,12,0,0,0,61,55,0,31,31,13,0,0,25,0,0,0,0
2018-02-12 01:28:00,51,4,0,30,41,6,0,22,0,31,22,33,0,63,0,0,0,25,75,0,0,0
2018-02-12 01:36:00,53,2,0,60,35,6,0,22,0,0,33,11,0,31,0,23,0,0,0,0,0,93
2018-02-12 01:44:00,48,4,0,0,41,6,0,21,0,0,33,0,31,31,0,0,0,25,25,0,0,93
2018-02-12 01:52:00,51,3,0,0,70,12,0,0,0,0,65,22,0,31,0,0,0,0,0,0,0,0
2018-02-12 02:00:00,47,3,30,60,23,12,0,0,0,30,66,11,0,0,0,0,0,25,0,0,0,0
2018-02-12 02:08:00,44,7,0,30,59,6,0,21,0,0,66,11,31,0,0,0,0,25,0,0,0,0
2018-02-12 02:16:00,57,2,0,0,71,24,0,0,0,31,44,0,0,31,0,0,0,25,75,0,0,0
2018-02-12 02:24:00,41,3,0,90,47,18,0,0,0,0,22,11,0,63,0,0,0,75,75,0,0,0
2018-02-12 02:32:00,49,2,0,30,53,0,0,0,0,62,44,0,0,32,0,0,0,75,0,0,0,0
2018-02-12 02:40:00,51,3,0,30,36,12,0,22,0,31,22,0,0,0,0,0,0,50,75,95,95,0
2018-02-12 02:48:00,51,4,31,0,18,12,0,22,0,0,34,11,0,32,0,24,0,76,25,0,0,0
2018-02-12 02:56:00,52,4,0,31,42,12,0,0,0,31,45,11,32,64,0,47,0,51,51,0,0,0
2018-02-12 03:04:00,62,4,0,0,36,24,0,0,0,31,45,22,0,64,0,24,0,0,0,0,0,0
2018-02-12 03:12:00,44,4,0,31,72,6,0,0,0,62,56,0,0,32,26,0,0,25,0,0,0,0
2018-02-12 03:20:00,60,1,0,0,55,12,0,0,0,31,68,11,0,65,13,24,0,26,0,0,0,0
