date,ripple,xrp
2018-02-12 00:00:00,73,18
2018-02-12 00:08:00,43,6
2018-02-12 00:16:00,61,18
2018-02-12 00:24:00,43,12
2018-02-12 00:32:00,42,6
2018-02-12 00:40:00,60,24
2018-02-12 00:48:00,36,12
2018-02-12 00:56:00,60,12
2018-02-12 01:04:00,30,18
2018-02-12 01:12:00,36,24
2018-02-12 01:20:00,65,12
2018-02-12 01:28:00,41,6
2018-02-12 01:36:00,35,6
2018-02-12 01:44:00,41,6
2018-02-12 01:52:00,70,12
2018-02-12 02:00:00,23,12
2018-02-12 02:08:00,59,6
2018-02-12 02:16:00,71,24
2018-02-12 02:24:00,47,18
2018-02-12 02:32:00,53,0
2018-02-12 02:40:00,36,12
2018-02-12 02:48:00,18,12
2018-02-12 02:56:00,42,12
2018-02-12 03:04:00,36,24
2018-02-12 03:12:00,72,6
2018-02-12 03:20:00,55,12
2018-02-12 03:28:00,43,37
2018-02-12 03:36:00,86,18
2018-02-12 03:44:00,56,12
2018-02-12 03:52:00,63,13
2018-02-12 04:00:00,44,19
2018-02-12 04:08:00,56,19
2018-02-12 04:16:00,63,6
2018-02-12 04:24:00,70,6
2018-02-12 04:32:00,83,26
2018-02-12 04:40:00,57,0
2018-02-12 04:48:00,58,6
2018-02-12 04:56:00,39,13
2018-02-12 05:04:00,64,19
2018-02-12 05:12:00,83,6
2018-02-12 05:20:00,64,13
2018-02-12 05:28:00,44,19
2018-02-12 05:36:00,44,19
2018-02-12 05:44:00,100,19
2018-02-12 05:52:00,37,12
2018-02-12 06:00:00,37,18
2018-02-12 06:08:00,60,12
2018-02-12 06:16:00,47,24
2018-02-12 06:24:00,29,12
2018-02-12 06:32:00,52,12
2018-02-12 06:40:00,63,17
2018-02-12 06:48:00,40,6
2018-02-12 06:56:00,45,11
2018-02-12 07:04:00,71,0
2018-02-12 07:12:00,49,22
2018-02-12 07:20:00,48,0
2018-02-12 07:28:00,47,5
2018-02-12 07:36:00,78,21
2018-02-12 07:44:00,57,15
2018-02-12 07:52:00,36,5
2018-02-12 08:00:00,45,15
2018-02-12 08:08:00,64,15
2018-02-12 08:16:00,44,19
2018-02-12 08:24:00,58,5
2018-02-12 08:32:00,34,24
2018-02-12 08:40:00,76,29
2018-02-12 08:48:00,62,19
2018-02-12 08:56:00,66,9
2018-02-12 09:04:00,61,14
2018-02-12 09:12:00,74,14
2018-02-12 09:20:00,78,9
2018-02-12 09:28:00,68,5
2018-02-12 09:36:00,72,27
2018-02-12 09:44:00,49,0
2018-02-12 09:52:00,36,9
2018-02-12 10:00:00,67,22
2018-02-12 10:08:00,66,22
2018-02-12 10:16:00,35,4
2018-02-12 10:24:00,48,9
2018-02-12 10:32:00,48,17
2018-02-12 10:40:00,85,9
2018-02-12 10:48:00,60,17
2018-02-12 10:56:00,73,21
2018-02-12 11:04:00,47,21
2018-02-12 11:12:00,21,8
2018-02-12 11:20:00,46,12
2018-02-12 11:28:00,41,8
2018-02-12 11:36:00,57,12
2018-02-12 11:44:00,28,4
2018-02-12 11:52:00,48,16
2018-02-12 12:00:00,48,8
2018-02-12 12:08:00,32,16
2018-02-12 12:16:00,78,16
2018-02-12 12:24:00,70,27
2018-02-12 12:32:00,42,27
2018-02-12 12:40:00,52,15
2018-02-12 12:48:00,59,15
2018-02-12 12:56:00,55,0
2018-02-12 13:04:00,33,18
2018-02-12 13:12:00,83,7
2018-02-12 13:20:00,53,7
2018-02-12 13:28:00,32,25
2018-02-12 13:36:00,56,14
2018-02-12 13:44:00,73,14
2018-02-12 13:52:00,38,21
2018-02-12 14:00:00,62,10
2018-02-12 14:08:00,44,10
2018-02-12 14:16:00,57,13
2018-02-12 14:24:00,80,17
2018-02-12 14:32:00,57,13
